City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,qaanaaq,77.484,-69.3632,258.62,65,91,4.19,GL,1676839124
203,shelburne,44.0787,-80.2041,278.22,69,96,8.0,CA,1676839124
204,valleyview,55.0667,-117.2859,270.17,93,100,2.57,CA,1676839125
205,jiangyou,31.7667,104.7167,280.12,68,15,1.05,CN,1676839125
206,alta floresta,-9.8756,-56.0861,297.96,95,100,1.34,BR,1676839126
207,narsaq,60.9167,-46.05,267.27,88,100,2.83,GL,1676839126
208,penzberg,47.75,11.3833,280.94,84,100,2.89,DE,1676839126
209,kavaratti,10.5669,72.642,299.36,75,9,2.89,IN,1676839127
210,khandela,27.6,75.5,291.78,18,12,3.0,IN,1676839128
211,dunedin,-45.8742,170.5036,292.48,66,60,2.68,NZ,1676839128
212,karratha,-20.7377,116.8463,303.79,54,74,4.16,AU,1676839129
213,praia,14.9215,-23.5087,294.45,78,75,10.29,CV,1676839129
214,wlodawa,51.55,23.55,273.12,71,51,4.53,PL,1676839130
215,haradok,55.4624,29.9816,270.86,95,100,6.84,BY,1676839130
216,constitucion,-35.3333,-72.4167,293.55,57,14,5.79,CL,1676839131
217,ponta delgada,37.7333,-25.6667,286.55,88,20,5.66,PT,1676839131
218,abu dhabi,24.4667,54.3667,295.34,67,0,4.12,AE,1676839046
219,nemuro,43.3236,145.575,271.31,97,100,12.39,JP,1676839132
220,prince rupert,54.3161,-130.3201,278.2,87,100,2.06,CA,1676838965
221,sitka,57.0531,-135.33,277.09,87,100,2.57,US,1676839133
222,hanmer springs,-42.5167,172.8167,294.62,44,11,1.19,NZ,1676839134
223,fortuna,40.5982,-124.1573,286.44,70,0,4.12,US,1676839134
224,pascagoula,30.3658,-88.5561,295.0,48,0,2.57,US,1676839135
225,axim,4.8699,-2.2405,299.59,83,6,3.85,GH,1676839135
226,dickson,36.077,-87.3878,288.51,29,0,7.2,US,1676839136
227,mbini,1.574,9.6134,300.23,83,90,4.09,GQ,1676839136
228,skjervoy,70.0311,20.9714,270.15,81,100,3.81,NO,1676839137
229,verkhnevilyuysk,63.4453,120.3167,247.18,99,99,1.85,RU,1676839137
230,bethel,41.3712,-73.414,281.49,55,0,4.12,US,1676839138
231,sao filipe,14.8961,-24.4956,295.1,74,95,3.78,CV,1676839138
232,phan thiet,10.9333,108.1,296.36,87,100,0.46,VN,1676839139
233,whitehorse,60.7161,-135.0538,269.32,81,75,2.06,CA,1676839047
234,sao joao da barra,-21.6403,-41.0511,302.2,87,95,4.16,BR,1676838877
235,koscierzyna,54.1223,17.9812,276.4,80,78,7.16,PL,1676839140
